colour,width,comp formation
#39f156,1,Plover Fm (Top Volcanics)
#2f97e8,1,Jamieson Fm
#9ad954,1,Volcanics
#c80e7e,1,Oliver Limestone Fm
#d4d84c,1,Sea Bed
#8c999a,2,WGFP Fm
#d5ecea,2,Montara Fm
#aca246,2,Traissic
#765ce6,2,Prion Limestone Fm
#41748a,2,Grebe Limestone Fm
#75415d,2,Baudin Marl Member
#b007e8,2,J-LDM15(seismic marker)
#0307fd,2,Vulcan Fm
#8ba248,0.5,Wangarlu Fm
#cdf604,0.5,Johnson Fm
#f09c7d,0.5,Plover C
#43ef57,0.5,Nome Fm
#e3c488,1,JP2 (near C.torosa)
#52277b,1,TD
#6d4f08,1,JP1 (seismic marker)
#52511e,1,Barracouta Fm
#9234c2,1,Plover Fm
#6d6131,0.5,Heywood Limestone Member
#9234c2,1,Plover A
#9234c2,1,Plover Fm (Top Reservoir)